id,name,artist,album,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6X5yUYQz3bKq0EZ0n82rqP,MANIAC -Japanese ver.-,Stray Kids,MANIAC -Japanese ver.-,2022-05-18,184786,62,0.731,0.759,1,-2.869,1,0.256,0.145,0.0,0.064,0.677,90.019,4
5npCUsfrlhdyjxyCa32maW,Christmas EveL,Stray Kids,Christmas EveL,2021-11-29,178529,68,0.878,0.777,5,-3.702,0,0.163,0.0437,0.0,0.401,0.878,139.989,4
6WM7pRXIeXuZ3Wowi9v1Wr,24 to 25,Stray Kids,Christmas EveL,2021-11-29,216773,56,0.681,0.455,4,-4.967,1,0.0288,0.533,0.0,0.0896,0.376,92.01,4
0BeqHPNJSLzfH8TZ7Adpb3,Winter Falls,Stray Kids,Christmas EveL,2021-11-29,235386,60,0.67,0.736,11,-4.811,0,0.105,0.07,0.0,0.091,0.512,97.974,4
0b9YBfAcbnhVDUFmsfpDFj,DOMINO - English Ver.,Stray Kids,Christmas EveL,2021-11-29,198733,59,0.68,0.877,7,-2.21,1,0.0425,0.0277,0.0,0.0731,0.69,160.063,4
549kQx5nEifbs0dML2zcZo,Scars,Stray Kids,Scars / ソリクン -Japanese ver.-,2021-10-13,200546,46,0.542,0.671,0,-4.109,1,0.084,0.0303,0.0,0.123,0.451,79.997,4
1xUzoqqXY4MxdUqgDNL5ip,ソリクン -Japanese ver.-,Stray Kids,Scars / ソリクン -Japanese ver.-,2021-10-13,185120,38,0.601,0.765,5,-3.691,0,0.237,0.152,0.0,0.134,0.747,172.07,4
40eQ3f56CJ34Io5JXKn5rF,CALL,Stray Kids,Scars / ソリクン -Japanese ver.-,2021-10-13,167426,56,0.84,0.698,10,-5.663,1,0.192,0.215,0.0,0.149,0.846,89.977,4
2WdnAdw7zpgU0FRkGiRV8n,Here Always (SEUNGMIN of Stray Kids),Stray Kids,"Hometown Cha-Cha-Cha, Pt. 7 (Original Television Soundtrack)",2021-10-10,254771,61,0.573,0.39,2,-8.017,1,0.0272,0.345,2.64e-06,0.104,0.118,82.035,4
6W0opcAxxH4LmLjiyafIyl,Here Always (SEUNGMIN of Stray Kids) - Instrumental,Stray Kids,"Hometown Cha-Cha-Cha, Pt. 7 (Original Television Soundtrack)",2021-10-10,254771,33,0.641,0.315,7,-9.827,1,0.0296,0.132,0.863,0.106,0.0387,82.025,4
4C9Zhjq5ux9ieiDWYfFcfP,Scars,Stray Kids,Scars,2021-10-06,200546,61,0.542,0.671,0,-4.109,1,0.084,0.0303,0.0,0.123,0.451,79.997,4
3oCzyOYIjAMAg1rGvTmr5o,ソリクン -Japanese ver.-,Stray Kids,ソリクン -Japanese ver.-,2021-09-23,183266,45,0.6,0.762,5,-3.692,0,0.239,0.156,0.0,0.208,0.773,172.058,4
0hSzkx76B91cIqQk3lCM3r,Mixtape : OH,Stray Kids,Mixtape : OH,2021-06-26,212480,46,0.71,0.684,11,-4.398,0,0.0772,0.201,0.0,0.149,0.626,87.903,4
3csbMYO3DEWUpHemWaXlaH,Going Dumb (with Stray Kids) [Mike Williams Remix],Alesso,Going Dumb (with Stray Kids) [Mike Williams Remix],2021-05-28,166875,44,0.776,0.739,6,-6.175,0,0.233,0.0258,1.28e-05,0.114,0.634,128.058,4
7arsXR8AtExnOFN3v3HiJI,Going Dumb,Alesso,Going Dumb,2021-03-19,168601,68,0.834,0.678,6,-6.242,0,0.0515,0.0546,0.263,0.103,0.551,121.995,4
3Ea1CNsTqBY4RtAESrBeNI,Going Dumb (with Stray Kids),Alesso,Going Dumb,2021-03-19,169506,63,0.834,0.651,6,-4.855,0,0.0595,0.153,0.0,0.146,0.49,121.978,4
3bT5zY5OCspnWmGU8TbxGi,ALL IN - Korean Ver.,Stray Kids,ALL IN (Korean Ver.),2020-11-26,184597,51,0.735,0.836,7,-5.704,1,0.204,0.0696,0.0,0.0947,0.814,140.02,4
1bIbXKrXRxfNh1l9a9lN2Q,ALL IN,Stray Kids,ALL IN,2020-10-20,187186,59,0.74,0.834,0,-5.751,1,0.293,0.0392,0.0,0.0568,0.775,139.961,4
7p1Cyfo5Wt0c5YJPHQcUJW,Back Door -Japanese ver.-,Stray Kids,Back Door -Japanese ver.-,2020-10-13,191360,36,0.826,0.832,7,-3.377,0,0.295,0.143,0.0,0.0741,0.664,107.984,4
79jqCoIi1bwD1w2KVCn4VL,神メニュー -Japanese ver.-,Stray Kids,神メニュー -Japanese ver.-,2020-10-07,170786,36,0.684,0.82,5,-2.478,0,0.0504,0.00363,0.0,0.396,0.311,156.999,4
2PujZcAaAMGsOeTUjrzkrz,Hello Stranger,Stray Kids,POP OUT BOY! Part.1,2020-07-16,239653,54,0.706,0.865,8,-3.103,1,0.0686,0.0232,0.0,0.328,0.667,99.999,4
4JTPA2EfxvcPC3l6iusdnA,Hello Stranger (inst.),Stray Kids,POP OUT BOY! Part.1,2020-07-16,239653,28,0.696,0.808,10,-5.39,0,0.0487,0.000578,0.859,0.336,0.646,99.998,4
4UV1PJZFkjuzVxrPkgNh6X,TOP -Japanese ver.-,Stray Kids,TOP -Japanese ver.-,2020-05-26,188013,46,0.629,0.965,7,-1.565,1,0.0939,0.00146,0.0,0.254,0.43,98.024,4
3HjisHgaiGPIcCVI7ozBxY,SLUMP -Japanese ver.-,Stray Kids,TOP -Japanese ver.-,2020-05-26,137080,34,0.592,0.83,7,-3.367,1,0.213,0.145,0.0,0.124,0.751,159.887,4
0yDK2hOXbc8RhxNo3DOX2p,TOP (Instrumental),Stray Kids,TOP -Japanese ver.-,2020-05-26,188013,29,0.584,0.939,7,-3.125,1,0.0381,3.72e-05,0.939,0.273,0.157,97.995,4
7GpApJuGyURffqtbgCHrJN,SLUMP (Instrumental),Stray Kids,TOP -Japanese ver.-,2020-05-26,136226,31,0.575,0.66,7,-7.027,1,0.0295,0.0017,0.0757,0.0942,0.456,160.083,4
2wkkamnFrdc7fkgtVqTODc,TOP - English Ver.,Stray Kids,TOP (English Ver.),2020-05-20,185839,46,0.616,0.949,7,-1.457,1,0.187,0.0026,0.0,0.166,0.33,97.942,4
48YxQWV3Fk6AhXVuAaN6ak,SLUMP - English Ver.,Stray Kids,TOP (English Ver.),2020-05-20,134840,55,0.599,0.843,7,-3.683,1,0.127,0.119,0.0,0.621,0.618,159.969,4
00gd5jfJPOmxCKGHpew7zu,"TOP - ""Tower of God"" OP",Stray Kids,TOP,2020-05-13,185840,38,0.445,0.947,7,-1.469,1,0.261,0.00384,0.0,0.118,0.342,195.715,4
6tYFtqCatUdOxBYBCUzOnR,"SLUMP - ""Tower of God"" ED",Stray Kids,TOP,2020-05-13,134840,34,0.608,0.87,7,-3.498,1,0.161,0.156,0.0,0.627,0.664,160.073,4
47bH8n39mkMHosMkniJRq0,SLUMP -Japanese ver.-,Stray Kids,SLUMP -Japanese ver.-,2020-05-06,137080,49,0.592,0.83,7,-3.367,1,0.213,0.145,0.0,0.124,0.751,159.887,4
38lvxgmSZ44mELX6PghSEk,TOP -Japanese ver.-,Stray Kids,TOP -Japanese ver.-,2020-04-28,188013,31,0.629,0.965,7,-1.565,1,0.0939,0.00146,0.0,0.254,0.43,98.024,4
2MYXIgYwlj1J0Tf6IXXed6,Mixtape : On Track,Stray Kids,Mixtape : On Track,2020-03-25,207814,40,0.44,0.79,6,-2.834,1,0.105,0.211,0.0,0.49,0.546,171.15,3
4RBVjeX3TfKeMBfQtAiA38,風 (Levanter) -Japanese ver.-,Stray Kids,風 (Levanter) -Japanese ver.-,2020-03-09,197440,37,0.558,0.697,9,-4.864,1,0.0588,0.00397,0.0,0.52,0.373,149.95,4
5Pbb3WchypoXLxkXaOCemH,Double Knot -Japanese ver.-,Stray Kids,Double Knot -Japanese ver.-,2020-02-18,191440,38,0.755,0.72,5,-4.975,0,0.392,0.0633,0.0,0.109,0.562,147.034,4
0fREGqFdul0GnsIuxU7aEh,My Pace -Japanese ver.-,Stray Kids,My Pace -Japanese ver.-,2020-01-31,189149,38,0.664,0.867,11,-4.099,0,0.275,0.0163,0.0,0.0954,0.703,154.999,4
5alifvW0L5t3Ei71aeDVax,Double Knot - English Ver.,Stray Kids,Step Out of Clé (English Ver.),2020-01-24,189758,47,0.736,0.698,5,-5.458,0,0.317,0.0465,0.0,0.47,0.624,146.951,4
5sPdWGv1MlA0qHzjN9hPPv,Levanter - English Ver.,Stray Kids,Step Out of Clé (English Ver.),2020-01-24,195671,53,0.581,0.727,9,-4.419,1,0.0566,0.00912,0.0,0.544,0.448,149.971,4
1oND8pWcWQByWyKDrxmGgh,Mixtape : Gone Days,Stray Kids,Mixtape : Gone Days,2019-12-26,196839,37,0.897,0.837,1,-4.135,1,0.0645,0.143,0.0,0.0567,0.844,135.027,4
0KHCa8hM5Jff6Ji0JxQYMb,끝나지 않을 이야기,Stray Kids,Extraordinary You Pt.7 (Original Television Soundtrack),2019-11-07,244866,62,0.447,0.57,5,-6.196,1,0.0839,0.138,0.0,0.107,0.37,79.801,4
2b2wyqQRUsWfUnTMuQROGT,끝나지 않을 이야기 Instrumental,Stray Kids,Extraordinary You Pt.7 (Original Television Soundtrack),2019-11-07,244865,32,0.602,0.558,5,-10.284,1,0.0298,0.00836,0.796,0.106,0.2,80.011,4
54O3CSVHE1nVVR19RKrIwe,Double Knot,Stray Kids,Double Knot,2019-10-09,189771,41,0.716,0.814,5,-2.889,0,0.35,0.0466,0.0,0.607,0.575,146.953,4
1fBirzBj8XiiXFlhUMGoAl,Hellevator,Stray Kids,Hellevator,2017-11-01,240000,39,0.515,0.816,10,-2.33,1,0.165,0.00816,0.0,0.35,0.288,78.17,4
4iNXUjXMr6rVJxH7a7yvGq,Hellevator,Stray Kids,SKZ2020,2020-03-18,239133,59,0.506,0.829,7,-2.109,0,0.163,0.0119,0.0,0.258,0.353,78.183,4
4xvA5uuQrpdGXoO2Mv72Kb,BEWARE,Stray Kids,SKZ2020,2020-03-18,190653,52,0.676,0.951,1,-2.649,1,0.239,0.0414,0.0,0.378,0.393,98.034,4
0cYKULL0oKenKk6IkubNUn,Spread My Wings,Stray Kids,SKZ2020,2020-03-18,202120,54,0.68,0.944,11,-3.463,0,0.192,0.149,0.0,0.238,0.661,139.885,4
289yMKn2spa548pE3u7oPc,YAYAYA,Stray Kids,SKZ2020,2020-03-18,202666,54,0.674,0.937,9,-1.686,0,0.223,0.108,0.0,0.0969,0.7,132.036,4
430IfeGHWJxnZOkhBYACt9,District 9,Stray Kids,SKZ2020,2020-03-18,213586,60,0.646,0.954,9,-1.899,1,0.18,0.017,5.87e-06,0.122,0.513,89.999,4
6War9Nidwyd881TDnaKWV8,Mirror,Stray Kids,SKZ2020,2020-03-18,222440,52,0.589,0.85,4,-3.763,0,0.276,0.0134,0.0,0.121,0.518,185.936,4
2XwBhQ6GqXa27dh8ELQOPE,Grow Up,Stray Kids,SKZ2020,2020-03-18,213040,57,0.552,0.944,7,-3.256,1,0.249,0.114,0.0,0.353,0.626,174.089,4
4yJUQqcnYkDafFzguSbZAl,My Pace,Stray Kids,SKZ2020,2020-03-18,190306,60,0.678,0.82,11,-4.278,0,0.243,0.0413,0.0,0.127,0.777,155.128,4
3zutAkkwy9Ucd9l4H4EReH,Voices,Stray Kids,SKZ2020,2020-03-18,202120,57,0.667,0.872,1,-3.561,1,0.0726,0.0205,0.0,0.35,0.299,149.967,4
2vfgmmnUDkZNs75AJm7lev,Question,Stray Kids,SKZ2020,2020-03-18,184360,55,0.772,0.814,4,-4.295,0,0.0793,0.0179,0.0,0.0808,0.531,98.026,4
4qB1r2kVuMjWhnHLk6N9m7,M.I.A.,Stray Kids,SKZ2020,2020-03-18,211626,53,0.813,0.879,9,-4.141,0,0.173,0.17,0.0,0.151,0.652,139.997,4
2mBtKEUCZVh9BTDhlj5OiW,Awkward Silence,Stray Kids,SKZ2020,2020-03-18,195320,56,0.573,0.893,10,-2.985,0,0.243,0.0957,0.0,0.0974,0.725,200.11,4
6ZRkZgq3o9ouLJTELktXmL,I am YOU,Stray Kids,SKZ2020,2020-03-18,206840,56,0.65,0.861,11,-3.905,1,0.218,0.0131,0.0,0.144,0.659,144.942,4
0uUOYmOu7V6v18XLkVtjDF,Get Cool,Stray Kids,SKZ2020,2020-03-18,196440,58,0.802,0.853,2,-4.172,1,0.113,0.0742,0.0,0.28,0.956,151.958,4
3888prAY7qaqRx1vjQZSdI,MIROH,Stray Kids,SKZ2020,2020-03-18,208666,62,0.564,0.976,9,-3.198,1,0.132,0.00946,0.0,0.337,0.449,126.077,4
1StYAeSCACp9ZlaJ4uxAf3,Victory Song,Stray Kids,SKZ2020,2020-03-18,198053,57,0.736,0.812,7,-3.997,1,0.107,0.00654,0.0,0.159,0.52,103.034,4
09i5WtpyEswhWwzmucaAVw,Boxer,Stray Kids,SKZ2020,2020-03-18,202293,56,0.585,0.903,2,-3.471,1,0.133,0.00716,0.0,0.185,0.462,104.891,4
58epKNTOOt4RDWObkR9e43,Chronosaurus,Stray Kids,SKZ2020,2020-03-18,200440,56,0.668,0.883,2,-2.73,1,0.0488,0.289,0.0,0.28,0.455,100.008,4
4FIEtn5MqtRyAHpPJDsDkj,19,Stray Kids,SKZ2020,2020-03-18,206440,54,0.788,0.667,10,-4.473,1,0.224,0.439,0.0,0.0972,0.379,105.004,4
39doHPm8Vsicb2kuD0weyZ,Side Effects,Stray Kids,SKZ2020,2020-03-18,195253,60,0.595,0.98,2,-1.667,1,0.168,0.0223,0.0,0.0667,0.143,97.452,3
7g2BHf27dzC61uSW3s4G0F,TMT,Stray Kids,SKZ2020,2020-03-18,209026,53,0.8,0.84,2,-3.921,1,0.0639,0.0657,0.0,0.0555,0.558,131.994,4
1Sftw4WKhFJGv7qQXlse4Y,Double Knot,Stray Kids,SKZ2020,2020-03-18,191546,59,0.752,0.738,5,-5.341,0,0.365,0.0541,0.0,0.526,0.585,146.944,4
4obrd9niIX70q5At9HURLd,Levanter,Stray Kids,SKZ2020,2020-03-18,197706,54,0.56,0.695,9,-4.697,1,0.0588,0.00753,0.0,0.534,0.358,149.95,4
4TXHE0TVqmAMmCRfGurb15,Astronaut,Stray Kids,SKZ2020,2020-03-18,180053,54,0.739,0.84,1,-6.555,0,0.104,0.0189,0.0,0.183,0.627,120.05,4
