id,name,artist,album,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1FdnsU6An1Ye3uBJe8j23c,"Surfin’ (Lee Know, Changbin, Felix)",Stray Kids,NOEASY,2021-08-23,191333,63,0.766,0.758,0,-4.647,1,0.0717,0.0531,0.0,0.253,0.535,104.96,4
6l8YJbgWzvh05e3Bnfw9lw,"Gone Away (HAN, Seungmin, I.N)",Stray Kids,NOEASY,2021-08-23,241280,60,0.497,0.743,1,-4.896,1,0.0608,0.169,0.0,0.363,0.393,143.838,4
0aWEt5aMfU2zYxE1tg2efw,WOLFGANG,Stray Kids,NOEASY,2021-08-23,190865,61,0.524,0.848,2,-3.48,0,0.122,0.0535,0.0,0.0786,0.135,161.672,4
2afx8zfrOsN3QVEWSx5IPp,Mixtape : OH,Stray Kids,NOEASY,2021-08-23,212480,65,0.745,0.685,11,-4.398,0,0.0693,0.204,0.0,0.151,0.628,87.982,4
1COXMzXT4JxnQCePCeptPP,ALL IN,Stray Kids,ALL IN,2020-10-27,187186,60,0.74,0.834,0,-5.751,1,0.293,0.0392,0.0,0.0568,0.775,139.961,4
6ilFCE6Ec0g4i6qbay0t6s,FAM,Stray Kids,ALL IN,2020-10-27,215066,56,0.885,0.788,7,-4.376,1,0.081,0.066,0.0,0.0688,0.335,105.03,4
4GyHQOpfrElhvKjIfXSEf3,One Day,Stray Kids,ALL IN,2020-10-27,193186,49,0.76,0.81,8,-5.209,1,0.081,0.146,0.0,0.072,0.542,145.054,4
3i5djonfd1bObNmcEcBDEO,神メニュー -Japanese ver.-,Stray Kids,ALL IN,2020-10-27,170786,43,0.684,0.82,5,-2.478,0,0.0504,0.00363,0.0,0.396,0.311,156.999,4
1lrgT4CLJNrZCNCF6Fwm0k,Back Door -Japanese ver.-,Stray Kids,ALL IN,2020-10-27,191360,43,0.826,0.832,7,-3.377,0,0.295,0.143,0.0,0.0741,0.664,107.984,4
6tuhGVjqfYYs0MYxapWibK,TOP -Japanese ver.-,Stray Kids,ALL IN,2020-10-27,188826,54,0.611,0.967,7,-1.576,1,0.147,0.00139,0.0,0.302,0.414,97.94,4
5duEyPwRu0D5RVLkVORqLG,SLUMP -Japanese ver.-,Stray Kids,ALL IN,2020-10-27,136133,55,0.598,0.813,7,-3.411,1,0.246,0.158,0.0,0.125,0.686,159.888,4
1Zv6xilw5El5P6frlNnYcH,The Tortoise and the Hare,Stray Kids,IN LIFE,2020-09-14,224365,60,0.674,0.854,11,-7.784,0,0.129,0.0603,0.16,0.268,0.176,154.072,4
0XuepwFJUcKN8T5zTqoP0F,Back Door,Stray Kids,IN LIFE,2020-09-14,189286,73,0.82,0.842,7,-3.853,1,0.272,0.157,0.0,0.112,0.653,107.952,4
